SHARDS_size, SHARDS_hitRate
0,0
429457408,0
858980352,7.728926E-05
1288437760,7.728926E-05
1717960704,7.728926E-05
2147483648,7.728926E-05
2576941056,7.728926E-05
3006464000,7.728926E-05
3435921408,7.728926E-05
3865444352,7.728926E-05
4294967296,9.661158E-05
4724424704,0.003052926
5153947648,0.00309157
5583405056,0.003110893
6012928000,0.003110893
6442450944,0.003149537
6871908352,0.003207505
7301431296,0.003226827
7730888704,0.003226827
8160411648,0.003226827
8589934592,0.003284794
9019392000,0.003323438
9448914944,0.003342761
9878372352,0.003362083
10307895296,0.003362083
10737418240,0.003400728
11166875648,0.003400728
11596398592,0.003439372
12025856000,0.003458695
12455378944,0.003478017
12884901888,0.003478017
13314359296,0.003516661
13743882240,0.003574628
14173339648,0.003574628
14602862592,0.003574628
15032320000,0.003632596
15461842944,0.003709885
15891365888,0.003729207
16320823296,0.003748529
16750346240,0.003787174
17179803648,0.003806496
17609326592,0.003806496
18038849536,0.003845141
18468306944,0.003903108
18897829888,0.003903108
19327287296,0.003903108
19756810240,0.00392243
20186333184,0.003961075
20615790592,0.004019042
21045313536,0.004038364
21474770944,0.004077008
21904293888,0.004115653
22333816832,0.00417362
22763274240,0.00417362
23192797184,0.06013104
23622254592,0.06065275
24051777536,0.06159955
24481234944,0.06374432
24910757888,0.0649423
25340280832,0.06550265
25769738240,0.06836236
26199261184,0.06836236
26628718592,0.07498991
27058241536,0.07502855
27487764480,0.07502855
27917221888,0.07502855
28346744832,0.07502855
28776202240,0.07504787
29205725184,0.07504787
29635248128,0.07504787
30064705536,0.0750672
30494228480,0.07508652
30923751424,0.07510584
31353208832,0.07510584
31782731776,0.07512517
32212189184,0.07512517
32641712128,0.07512517
33071235072,0.07514448
33500692480,0.07514448
33930215424,0.07516381
34359672832,0.07516381
34789195776,0.07516381
35218718720,0.08063202
35648176128,0.08063202
36077699072,0.08063202
36507156480,0.08063202
36936679424,0.08063202
37366202368,0.08065135
37795659776,0.08065135
