0,0
429457408,0;429457408
858980352,0.003788716;858980352
1288437760,0.003814415;1288437760
1717960704,0.00383335;1717960704
2147483648,0.003841852;2147483648
2576941056,0.003853639;2576941056
3006464000,0.003855958;3006464000
3435921408,0.003878372;3435921408
3865444352,0.003900012;3865444352
4294967296,0.00392204;4294967296
4724424704,0.004027733;4724424704
5153947648,0.006847242;5153947648
5583405056,0.00687526;5583405056
6012928000,0.006902697;6012928000
6442450944,0.006932647;6442450944
6871908352,0.006976315;6871908352
7301431296,0.007024621;7301431296
7730888704,0.007050127;7730888704
8160411648,0.007075825;8160411648
8589934592,0.007099398;8589934592
9019392000,0.00712587;9019392000
9448914944,0.007146352;9448914944
9878372352,0.007169345;9878372352
10307895296,0.007194851;10307895296
10737418240,0.007216298;10737418240
11166875648,0.007238519;11166875648
11596398592,0.007259774;11596398592
12025856000,0.007283733;12025856000
12455378944,0.007311557;12455378944
12884901888,0.007335517;12884901888
13314359296,0.007360829;13314359296
13743882240,0.007384402;13743882240
14173339648,0.007407589;14173339648
14602862592,0.00742923;14602862592
15032320000,0.007451451;15032320000
15461842944,0.007473285;15461842944
15891365888,0.007504394;15891365888
16320823296,0.007533957;16320823296
16750346240,0.007562554;16750346240
17179803648,0.0075869;17179803648
17609326592,0.007624192;17609326592
18038849536,0.007691434;18038849536
18468306944,0.007752492;18468306944
18897829888,0.007775679;18897829888
19327287296,0.007795581;19327287296
19756810240,0.00781587;19756810240
20186333184,0.007837124;20186333184
20615790592,0.007859345;20615790592
21045313536,0.00787828;21045313536
21474770944,0.007898183;21474770944
21904293888,0.007916925;21904293888
22333816832,0.007935281;22333816832
22763274240,0.06094369;22763274240
23192797184,0.0638544;23192797184
23622254592,0.0639172;23622254592
24051777536,0.06552403;24051777536
24481234944,0.06673342;24481234944
24910757888,0.06909712;24910757888
25340280832,0.07260411;25340280832
25769738240,0.07263986;25769738240
26199261184,0.07264527;26199261184
26628718592,0.07838206;26628718592
27058241536,0.07838535;27058241536
27487764480,0.07838998;27487764480
27917221888,0.07839423;27917221888
28346744832,0.07839867;28346744832
28776202240,0.07840293;28776202240
29205725184,0.07840931;29205725184
29635248128,0.07841587;29635248128
30064705536,0.0784236;30064705536
30494228480,0.07843036;30494228480
30923751424,0.07843635;30923751424
31353208832,0.07843906;31353208832
31782731776,0.07844099;31782731776
32212189184,0.07844466;32212189184
32641712128,0.07844853;32641712128
33071235072,0.07845142;33071235072
33500692480,0.07845607;33500692480
33930215424,0.07845934;33930215424
34359672832,0.07846341;34359672832
34789195776,0.07846766;34789195776
35218718720,0.07847171;35218718720
35648176128,0.08458046;35648176128
36077699072,0.08458626;36077699072
36507156480,0.08459186;36507156480
36936679424,0.08459824;36936679424
37366202368,0.08465871;37366202368
37795659776,0.08471069;37795659776
38225182720,0.08471262;38225182720
38654705664,0.08471321;38654705664
39084163072,0.08471417;39084163072
39513686016,0.08471514;39513686016
39943143424,0.1038119;39943143424
40372666368,0.1039715;40372666368
40802189312,0.1041165;40802189312
41231646720,0.1042612;41231646720
41661169664,0.1044229;41661169664
42090627072,0.4241988;42090627072
42520150016,0.4432338;42520150016
42949672960,0.4432346;42949672960
43379130368,0.4435427;43379130368
43808653312,0.4469794;43808653312
44238176256,0.4475983;44238176256
44667633664,0.4498067;44667633664
45097156608,0.4519389;45097156608
45526614016,0.4519395;45526614016
45956136960,0.4519399;45956136960
46385659904,0.45194;46385659904
46815117312,0.4519404;46815117312
47244640256,0.4519408;47244640256
47674097664,0.4519414;47674097664
48103620608,0.4519447;48103620608
48533143552,0.4519474;48533143552
48962600960,0.4519495;48962600960
49392123904,0.451952;49392123904
49821646848,0.4519541;49821646848
50251104256,0.4519559;50251104256
50680627200,0.4519578;50680627200
51110084608,0.4519594;51110084608
51539607552,0.4519607;51539607552
51969130496,0.4519619;51969130496
52398587904,0.4519644;52398587904
52828110848,0.4519667;52828110848
53257568256,0.4519677;53257568256
53687091200,0.451969;53687091200
54116614144,0.4519702;54116614144
54546071552,0.4519714;54546071552
54975594496,0.4519721;54975594496
55405051904,0.4519733;55405051904
55834574848,0.4519739;55834574848
56264097792,0.4519742;56264097792
56693555200,0.4520003;56693555200
57123078144,0.4520019;57123078144
57552601088,0.452002;57552601088
